CRASH DATE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/10/23,40.635757,-73.99486,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/10/23,40.616413,-74.103516,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorcycle,,,
1/11/23,40.8617,-73.89139,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/12/23,40.874714,-73.84512,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Moped,Sedan,,,
1/12/23,40.846424,-73.86034,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/12/23,40.677414,-73.93033,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Motorscooter,Sedan,,
1/13/23,40.816696,-73.923096,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
1/13/23,40.77126,-73.92249,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
1/13/23,40.75458,-73.99915,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Motorcycle,,,
1/13/23,40.719635,-73.89081,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,moped,,,
1/13/23,40.707798,-73.95611,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Moped,Sedan,,,
1/13/23,40.663292,-73.92543,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
1/13/23,40.592518,-73.932625,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
1/14/23,40.82839,-73.89385,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,moped,,,
1/14/23,40.796112,-73.945564,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Sedan,Moped,,,
1/14/23,40.77944,-73.95984,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Moped,Taxi,,,
1/14/23,40.712753,-73.93454,1,0,0,0,0,0,1,0,Following Too Closely,Other Vehicular,Other Vehicular,,,Sedan,Motorscooter,Sedan,,
1/14/23,40.7122,-73.88591,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Moped,,,
1/14/23,40.68871,-73.95499,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,Sedan,Motorcycle,,,
1/14/23,40.676872,-73.94985,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Ambulance,Motorcycle,,,
1/15/23,40.841843,-73.94539,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Motorscooter,,,,
1/15/23,40.639305,-73.95898,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Motorscooter,Taxi,,,
1/16/23,40.8477,-73.90097,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Moped,Sedan,,,
1/16/23,40.843296,-73.88685,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Other Lighting Defects,,,,Sedan,Motorscooter,,,
1/16/23,40.76532,-73.771904,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorcycle,,,
1/16/23,40.763496,-73.80734,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Sedan,Moped,,,
1/16/23,40.71337,-73.934814,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,Moped,Motorcycle,,,
1/16/23,40.55243,-74.1437,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,Motorcycle,,,,
1/16/23,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/17/23,40.83714,-73.92049,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/17/23,40.62553,-73.932434,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Sedan,Motorcycle,,,
1/18/23,40.86218,-73.89542,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
1/19/23,40.714054,-73.9853,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Motorcycle,,,,
1/19/23,40.587265,-73.983475,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/20/23,40.86539,-73.88684,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,,,,Sedan,Moped,,,
1/20/23,40.832695,-73.94078,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/20/23,40.799297,-73.94113,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
1/20/23,40.701912,-73.93699,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
1/20/23,40.697315,-73.932274,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,,,,,Motorscooter,,,,
1/21/23,40.88658,-73.82637,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
1/21/23,40.8477,-73.90097,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,Moped,,,,
1/21/23,40.71913,-73.976364,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Motorcycle,Sedan,,,
1/21/23,40.699627,-73.923836,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
1/21/23,,,1,0,1,0,0,0,0,0,Unspecified,,,,,Motorbike,,,,
1/22/23,40.818504,-73.91448,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
1/22/23,40.765224,-73.92275,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
1/22/23,40.62286,-74.002495,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/23/23,40.86804,-73.879105,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
1/23/23,40.829136,-73.9114,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
1/23/23,40.75166,-73.93355,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,Moped,,,,
1/23/23,40.74141,-73.88461,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,,,,
1/23/23,40.71106,-73.942116,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,Motorcycle,Sedan,,,
1/23/23,40.706055,-73.90151,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
1/24/23,40.87683,-73.86472,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,Sedan,Motorbike,,,
1/24/23,40.843765,-73.8656,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,Moped,,,,
1/24/23,40.790417,-73.95184,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Moped,,
1/24/23,40.742283,-74.004425,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Moped,,,,
1/24/23,40.676693,-73.917404,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,Pick-up Truck,Motorcycle,,,
1/24/23,40.666843,-73.994865,1,0,0,0,0,0,1,0,Obstruction/Debris,,,,,Motorbike,,,,
1/24/23,40.632633,-74.01254,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Box Truck,Moped,,,
1/25/23,40.86369,-73.91707,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Sedan,,,
1/25/23,40.846672,-73.866646,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,Sedan,,,
1/25/23,40.71184,-73.905594,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Motorcycle,,,,
1/25/23,40.677513,-73.95913,0,0,0,0,0,0,0,0,Other Vehicular,,,,,Motorcycle,,,,
1/26/23,40.834915,-73.894135,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Motorcycle,,,
1/26/23,40.746593,-73.92085,0,0,0,0,0,0,0,0,Unspecified,,,,,Motorcycle,,,,
1/26/23,40.72216,-74.01012,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
1/26/23,40.602726,-73.936134,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,Moped,Sedan,,,
1/27/23,40.730278,-73.74399,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorbike,,,
1/27/23,40.715527,-73.824356,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Motorcycle,Sedan,Sedan,Sedan
1/28/23,40.84822,-73.883125,1,0,0,0,0,0,1,0,Fell Asleep,Unspecified,Unspecified,Unspecified,,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Motorcycle,
1/28/23,40.83928,-73.886604,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,,,,Sedan,Motorcycle,,,
1/28/23,40.678318,-73.94693,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,,,,,Motorcycle,,,,
1/29/23,40.73294,-73.84961,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorcycle,Sedan,,,
1/29/23,40.660892,-73.88522,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
1/30/23,40.88459,-73.912315,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
1/30/23,40.860577,-73.90255,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Sedan,Motorbike,,,
1/30/23,40.83923,-73.94555,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Motorcycle,,,,
1/30/23,40.712727,-73.72899,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,Sedan,Motorcycle,,,
1/31/23,40.652462,-73.92285,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,Motorcycle,Station Wagon/Sport Utility Vehicle,Sedan,,
1/31/23,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/1/23,40.80884,-73.96582,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/1/23,40.787746,-73.94454,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Following Too Closely,,,,Sedan,Moped,,,
2/1/23,40.763035,-73.924515,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Motorcycle,,,
2/1/23,40.719112,-73.94155,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
2/1/23,40.595238,-73.94091,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Box Truck,Moped,,,
2/2/23,40.809105,-73.9229,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,Sedan,Moped,,,
2/2/23,40.742275,-73.91105,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,Motorcycle,Sedan,,,
2/2/23,40.687244,-73.95469,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Motorcycle,,,,
2/2/23,40.687244,-73.95469,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,Motorcycle,Box Truck,,,
2/2/23,40.647682,-73.96755,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Passing or Lane Usage Improper,,,,Sedan,Moped,,,
2/2/23,40.647346,-74.007996,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/2/23,40.644447,-73.984406,1,0,1,0,0,0,0,0,,,,,,Motorcycle,,,,
2/2/23,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2/3/23,40.834164,-73.922226,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Moped,,,
2/3/23,40.79989,-73.93859,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/3/23,40.749374,-73.86752,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorcycle,,,
2/3/23,40.734257,-73.89603,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Sedan,Station Wagon/Sport Utility Vehicle,Motorcycle,,
2/3/23,40.718887,-73.8416,1,0,1,0,0,0,0,0,Unsafe Speed,,,,,Moped,,,,
2/4/23,40.739964,-73.89424,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,,,,Sedan,Motorcycle,,,
2/4/23,40.68039,-73.94956,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Moped,,,,
2/4/23,40.644615,-73.962166,0,0,0,0,0,0,0,0,Unspecified,,,,,Moped,,,,
2/5/23,40.882645,-73.886566,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,Sedan,Moped,,,
2/5/23,40.738686,-73.99588,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2/6/23,40.867012,-73.92312,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Passing Too Closely,,,,Sedan,Motorcycle,,,
2/6/23,40.823658,-73.91206,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,moped,,,
2/6/23,40.79428,-73.94902,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Box Truck,Motorcycle,,,
2/6/23,40.763096,-73.96757,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,Moped,Taxi,,,
2/6/23,40.762634,-73.92683,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
2/6/23,40.751793,-73.97688,2,0,1,0,0,0,1,0,Failure to Yield Right-of-Way,,,,,Motorcycle,,,,
2/6/23,40.74738,-73.98606,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Moped,Moped,,,
2/6/23,40.635815,-73.95343,1,0,0,0,0,0,1,0,Unsafe Speed,Failure to Yield Right-of-Way,,,,Moped,Station Wagon/Sport Utility Vehicle,,,
2/7/23,40.82403,-73.94476,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,Sedan,Motorcycle,,,
2/7/23,40.800232,-73.95248,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Motorcycle,,,
2/7/23,40.730305,-73.99989,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passenger Distraction,,,,Moped,Sedan,,,
2/7/23,40.719677,-73.8705,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2/7/23,40.679375,-73.96408,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorscooter,,,
2/7/23,40.63743,-74.11375,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Sedan,Motorcycle,,,
2/8/23,40.851093,-73.93244,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
2/8/23,40.83403,-73.87956,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,,,,Motorcycle,Sedan,,,
2/8/23,40.822712,-73.903145,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Taxi,moped,,,
2/8/23,40.697803,-73.969734,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
2/8/23,40.69263,-73.85733,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Motorcycle,Box Truck,,,
2/8/23,40.665726,-73.96425,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Motorcycle,Sedan,,,
2/8/23,40.635906,-73.97487,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/8/23,40.58478,-73.962555,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/9/23,40.797215,-73.969925,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Moped,,,,
2/9/23,40.790997,-73.95143,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Motorcycle,,,,
2/9/23,40.745815,-73.97626,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
2/9/23,40.707684,-73.92886,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Motorcycle,,,,
2/9/23,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
2/10/23,40.870678,-73.87762,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Moped,,,
2/10/23,40.82343,-73.91116,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,moped,,,
2/10/23,40.810318,-73.943634,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Moped,,,
2/10/23,40.757248,-73.93116,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,Moped,,,,
2/10/23,40.756683,-73.85793,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,Motorcycle,,,,
2/10/23,40.73555,-73.979355,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Moped,,,
2/10/23,40.721306,-73.89263,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Bus,Motorcycle,,,
2/10/23,40.712856,-73.9049,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Motorscooter,Sedan,,,
2/11/23,40.85078,-73.91222,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inexperience,,,,Sedan,Moped,,,
2/11/23,40.768616,-73.92508,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,,,,Bike,Motorcycle,,,
2/11/23,40.755,-73.98848,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Motorcycle,,,,
2/11/23,40.749157,-73.86943,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,Motorcycle,Sedan,,,
2/11/23,40.66895,-73.9339,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,Sedan,Motorcycle,,,
